,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
344,222.97,1.88e-09,0,1.878e-09,1.849e-12
345,223.02,2.6969999999999996e-10,0,2.6519999999999997e-10,4.444e-12
346,223.07,4.3530000000000004e-11,0,3.384e-11,9.684e-12
347,223.12,2.3040000000000002e-11,0,3.9010000000000004e-12,1.914e-11
348,223.17,3.472e-11,0,4.064e-13,3.431e-11
349,223.22,5.5829999999999996e-11,0,3.825e-14,5.5789999999999996e-11
350,223.27,8.226000000000001e-11,0,3.2520000000000004e-15,8.226000000000001e-11
351,223.32,1.1e-10,0,2.4990000000000003e-16,1.1e-10
352,223.37,1.334e-10,0,1.7349999999999998e-17,1.334e-10
353,223.42,1.467e-10,0,0,1.467e-10
354,223.47,1.462e-10,0,0,1.462e-10
355,223.52,1.322e-10,0,0,1.322e-10
356,223.57,1.0840000000000001e-10,0,0,1.0840000000000001e-10
357,223.62,8.051000000000001e-11,0,0,8.051000000000001e-11
358,223.67,5.4219999999999995e-11,0,0,5.4219999999999995e-11
359,223.72,3.31e-11,0,0,3.31e-11
360,223.77,1.831e-11,0,0,1.831e-11
361,223.82,9.177999999999998e-12,0,0,9.177999999999998e-12
362,223.87,4.169e-12,0,0,4.169e-12
363,223.92,1.716e-12,0,0,1.716e-12
364,223.97,6.397e-13,0,0,6.397e-13
365,224.02,2.161e-13,0,0,2.161e-13
366,224.07,6.609e-14,0,0,6.609e-14
367,224.12,1.831e-14,0,0,1.831e-14
368,224.17,4.595e-15,0,0,4.595e-15
369,224.22,1.044e-15,0,0,1.044e-15
370,224.27,2.148e-16,0,0,2.148e-16
371,224.32,4.002e-17,0,0,4.002e-17
372,224.37,6.75e-18,0,0,6.75e-18
373,224.42,1.031e-18,0,0,1.031e-18
374,224.47,1.4250000000000001e-19,0,0,1.4250000000000001e-19
375,224.52,1.783e-20,0,0,1.783e-20
376,224.57,2.0190000000000003e-21,0,0,2.0190000000000003e-21
377,224.62,2.07e-22,0,0,2.07e-22
378,224.67,1.921e-23,0,0,1.921e-23
379,224.72,1.6130000000000002e-24,0,0,1.6130000000000002e-24
380,224.77,1.2260000000000002e-25,0,0,1.2260000000000002e-25
381,224.82,8.184e-27,0,0,8.184e-27
382,225.12,1.695e-17,0,1.695e-17,0
383,225.17,2.2019999999999998e-16,0,2.2019999999999998e-16,0
384,225.22,2.594e-15,0,2.594e-15,0
385,225.27,2.7730000000000002e-14,0,2.7730000000000002e-14,0
386,225.32,2.688e-13,0,2.688e-13,0
387,225.37,2.364e-12,0,2.364e-12,0
388,225.42,1.886e-11,0,1.886e-11,0
389,225.47,1.3640000000000001e-10,0,1.3640000000000001e-10,0
390,225.52,8.957000000000001e-10,0,8.957000000000001e-10,0
391,225.57,5.333e-09,0,5.333e-09,0
392,225.62,2.88e-08,0,2.88e-08,0
393,225.67,1.4109999999999999e-07,0,1.4109999999999999e-07,0
394,225.72,6.272e-07,0,6.272e-07,0
395,225.77,2.5290000000000003e-06,0,2.5290000000000003e-06,0
396,225.82,9.247e-06,0,9.247e-06,0
397,225.87,3.068e-05,0,3.068e-05,0
398,225.92,9.231e-05,0,9.231e-05,0
399,225.97,0.000252,0,0.000252,0
400,226.02,0.0006239,0,0.0006239,0
401,226.07,0.001401,0,0.001401,0
402,226.12,0.002855,0,0.002855,0
403,226.17,0.0052770000000000004,0,0.0052770000000000004,0
404,226.22,0.008847,0,0.008847,0
405,226.27,0.01345,0,0.01345,0
406,226.32,0.01856,0,0.01856,0
407,226.37,0.02323,0,0.02323,0
408,226.42,0.02636,0,0.02636,0
409,226.47,0.02715,0,0.02715,0
410,226.52,0.02536,0,0.02536,0
411,226.57,0.021480000000000003,0,0.021480000000000003,0
412,226.62,0.01651,0,0.01651,0
413,226.67,0.01151,0,0.01151,0
414,226.72,0.00728,0,0.00728,0
415,226.77,0.004176,0,0.004176,0
416,226.82,0.002173,0,0.002173,0
417,226.87,0.001026,0,0.001026,0
418,226.92,0.00043919999999999994,0,0.00043919999999999994,0
419,226.97,0.0001706,0,0.0001706,0
420,227.02,6.011e-05,0,6.011e-05,0
421,227.07,1.921e-05,0,1.921e-05,0
422,227.12,5.57e-06,0,5.57e-06,0
423,227.17,1.465e-06,0,1.465e-06,0
