,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3656,410.58,4.2619999999999994e-12,9.712999999999998e-16,4.261e-12,0
3657,410.63,6.7e-12,4.143e-15,6.696e-12,0
3658,410.68,1.023e-11,1.716e-14,1.0220000000000001e-11,0
3659,410.73,1.52e-11,6.901e-14,1.513e-11,0
3660,410.78,2.204e-11,2.696e-13,2.1770000000000003e-11,0
3661,410.83,3.142e-11,1.023e-12,3.039e-11,0
3662,410.88,4.497e-11,3.767e-12,4.121e-11,0
3663,410.93,6.770999999999999e-11,1.348e-11,5.424e-11,0
3664,410.98,1.1609999999999999e-10,4.6810000000000004e-11,6.931e-11,0
3665,411.03,2.439e-10,1.5790000000000002e-10,8.6e-11,0
3666,411.08,6.211000000000001e-10,5.175e-10,1.036e-10,0
3667,411.13,1.768e-09,1.646e-09,1.212e-10,0
3668,411.18,5.225e-09,5.087e-09,1.376e-10,0
3669,411.23,1.542e-08,1.526e-08,1.518e-10,0
3670,411.28,4.4639999999999995e-08,4.4480000000000005e-08,1.626e-10,0
3671,411.33,1.26e-07,1.259e-07,1.691e-10,0
3672,411.38,3.461e-07,3.4590000000000005e-07,1.709e-10,0
3673,411.43,9.233e-07,9.231e-07,1.68e-10,0
3674,411.48,2.3930000000000002e-06,2.3919999999999997e-06,1.6069999999999997e-10,0
3675,411.53,6.022e-06,6.022e-06,1.499e-10,0
3676,411.58,1.472e-05,1.472e-05,1.366e-10,0
3677,411.63,3.493e-05,3.493e-05,1.224e-10,0
3678,411.68,8.053e-05,8.053e-05,1.086e-10,0
3679,411.73,0.00018030000000000002,0.00018030000000000002,9.642e-11,0
3680,411.78,0.0003919,0.0003919,8.697e-11,0
3681,411.83,0.0008273,0.0008273,8.095e-11,0
3682,411.88,0.001696,0.001696,7.867999999999999e-11,0
3683,411.93,0.0033770000000000002,0.0033770000000000002,8.006999999999999e-11,0
3684,411.98,0.006529999999999999,0.006529999999999999,8.467e-11,0
3685,412.03,0.01226,0.01226,9.168000000000001e-11,0
