Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
252.58,3.375e+2,,3.375e+2
252.63,4.169e+2,,4.169e+2
252.68,4.956e+2,,4.956e+2
252.73,5.692e+2,,5.692e+2
252.78,6.316e+2,,6.316e+2
252.83,6.749e+2,,6.749e+2
252.88,6.903e+2,,6.903e+2
252.93,6.710e+2,,6.710e+2
252.98,6.159e+2,,6.159e+2
253.03,5.306e+2,,5.306e+2
253.08,4.271e+2,,4.271e+2
253.13,3.203e+2,,3.203e+2
253.18,2.232e+2,,2.232e+2
253.23,1.443e+2,,1.443e+2
253.28,8.648e+1,,8.648e+1
253.33,4.799e+1,,4.799e+1
253.38,2.465e+1,,2.465e+1
253.43,1.172e+1,,1.172e+1
253.48,5.155e+0,,5.155e+0
253.53,2.099e+0,,2.099e+0
253.58,7.965e-1,,7.965e-1
253.63,3.030e-1,,3.030e-1
253.68,1.898e-1,,1.898e-1
253.73,3.616e-1,,3.616e-1
253.78,1.034e+0,,1.034e+0
253.83,2.915e+0,,2.915e+0
253.88,7.647e+0,,7.647e+0
253.93,1.858e+1,,1.858e+1
253.98,4.180e+1,,4.180e+1
254.03,8.703e+1,,8.703e+1
254.08,1.678e+2,,1.678e+2
254.13,2.993e+2,,2.993e+2
254.18,4.944e+2,,4.944e+2
254.23,7.560e+2,,7.560e+2
254.28,1.070e+3,,1.070e+3
254.33,1.402e+3,,1.402e+3
254.38,1.701e+3,,1.701e+3
254.43,1.909e+3,,1.909e+3
254.48,1.985e+3,,1.985e+3
254.53,1.909e+3,,1.909e+3
254.58,1.701e+3,,1.701e+3
254.63,1.402e+3,,1.402e+3
254.68,1.070e+3,,1.070e+3
254.73,7.560e+2,,7.560e+2
254.78,4.944e+2,,4.944e+2
254.83,2.993e+2,,2.993e+2
254.88,1.678e+2,,1.678e+2
254.93,8.703e+1,,8.703e+1
254.98,4.180e+1,,4.180e+1
255.03,1.858e+1,,1.858e+1
255.08,7.646e+0,,7.646e+0
255.13,2.913e+0,,2.913e+0
255.18,1.027e+0,,1.027e+0
255.23,3.353e-1,,3.353e-1
255.28,1.013e-1,,1.013e-1
255.33,2.834e-2,,2.834e-2
255.38,7.340e-3,,7.340e-3
255.43,1.759e-3,,1.759e-3
255.48,3.904e-4,,3.904e-4
255.53,8.019e-5,,8.019e-5
255.58,1.525e-5,,1.525e-5
255.63,2.684e-6,,2.684e-6
255.68,4.373e-7,,4.373e-7
255.73,6.596e-8,,6.596e-8
255.78,9.217e-9,,9.217e-9
255.83,1.254e-9,,1.254e-9
255.88,6.175e-10,,6.175e-10
255.93,3.282e-9,,3.282e-9
255.98,2.082e-8,,2.082e-8
256.03,1.230e-7,,1.230e-7
256.08,6.740e-7,,6.740e-7
256.13,3.424e-6,,3.424e-6
256.18,1.613e-5,,1.613e-5
256.23,7.044e-5,,7.044e-5
256.28,2.852e-4,,2.852e-4
256.33,1.071e-3,,1.071e-3
256.38,3.728e-3,,3.728e-3
256.43,1.203e-2,,1.203e-2
