Wavelength,Sum
353.38,-3.111111111
353.55,-5.333333333
353.72,-1.777777778
353.88,-6.222222222
354.05,2.444444444
354.22,0.111111111
354.39,-0.777777778
354.55,10.55555556
354.72,8.111111111
354.89,18
355.05,24.22222222
355.22,33.33333333
355.39,34.77777778
355.55,29.77777778
355.72,38.33333333
355.89,50.11111111
356.06,54.66666667
356.22,67.77777778
356.39,87.55555556
356.56,187.3333333
356.72,391
356.89,691
357.06,1208.444444
357.22,1939.666667
357.39,2794.222222
357.56,3655.333333
357.73,4245.666667
357.89,4596.111111
358.06,4766.666667
358.23,4769.444444
358.39,4559.444444
358.56,4082.111111
358.73,3382.222222
358.89,2531.666667
359.06,1684.222222
359.23,1088.666667
359.4,726
359.56,449.3333333
359.73,241.2222222
359.9,161.8888889
360.06,128.4444444
360.23,98.88888889
360.4,82
360.56,56.77777778
360.73,53
360.9,37.33333333
361.06,44
361.23,35.55555556
361.4,31.66666667
361.56,31.66666667
361.73,28.77777778
361.9,30
362.07,32.77777778
362.23,23.66666667
362.4,23.77777778
362.57,23.55555556
362.73,28.44444444
362.9,22.22222222
363.07,11.77777778
363.23,10.88888889
363.4,1.555555556
363.57,-8.111111111
363.73,-5.222222222
363.9,0.555555556
364.07,-4.888888889
364.23,-10.55555556
364.4,-13.77777778
364.57,-8.444444444
364.73,-9.333333333
364.9,-5.888888889
365.07,7.333333333
365.23,11.88888889
365.4,8.888888889
365.57,1.888888889
365.73,3.222222222
365.9,11.77777778
366.07,9
366.23,-0.777777778
